week,technology_count,financial_count,consumer_cyclical_count,healthcare_count,industrials_count
2018-W01,20,14,10,20,5
2018-W02,20,9,7,20,6
2018-W03,20,15,12,20,4
2018-W04,20,10,12,20,8
2018-W05,20,15,10,20,3
2018-W06,20,9,7,20,3
2018-W07,20,13,5,20,1
2018-W08,20,6,10,20,5
2018-W09,20,13,11,20,0
2018-W10,20,11,17,20,3
2018-W11,20,10,10,20,2
2018-W12,20,9,5,20,4
2018-W13,20,11,11,20,2
2018-W14,20,7,9,20,3
2018-W15,20,12,12,20,4
2018-W16,20,9,8,20,6
2018-W17,20,10,14,20,5
2018-W18,20,12,8,20,0
2018-W19,20,5,13,20,3
2018-W20,20,15,13,20,2
2018-W21,20,9,6,20,5
2018-W22,9,0,0,3,0
2018-W23,7,1,2,2,2
2018-W24,12,1,2,0,0
2018-W25,9,1,2,1,0
2018-W26,7,3,0,2,0
2018-W27,10,1,1,2,0
2018-W28,14,2,1,2,1
2018-W29,8,0,0,3,0
2018-W30,4,1,1,0,0
2018-W31,5,0,1,1,0
2018-W32,6,1,0,1,0
2018-W33,5,0,1,1,1
2018-W34,5,3,0,3,0
2018-W35,5,0,1,1,0
2018-W36,3,3,0,2,0
2018-W37,4,1,1,4,1
2018-W38,11,1,1,7,0
2018-W39,8,2,1,5,0
2018-W40,8,1,1,5,0
2018-W41,9,1,0,3,0
2018-W42,14,1,2,3,1
2018-W43,14,0,0,3,0
2018-W44,20,1,1,1,0
2018-W45,14,2,0,4,0
2018-W46,14,1,1,5,1
2018-W47,17,1,1,4,0
2018-W48,13,0,1,11,1
2018-W49,13,5,1,2,1
2018-W50,18,0,0,6,0
2018-W51,18,0,0,1,2
2018-W52,17,0,0,2,0
2019-W01,14,0,1,7,0
2019-W02,12,4,0,6,1
2019-W03,19,2,1,2,0
2019-W04,13,1,0,7,0
2019-W05,20,1,1,2,1
2019-W06,20,1,0,4,0
2019-W07,20,1,0,1,0
2019-W08,12,1,1,3,0
2019-W09,17,0,0,5,0
2019-W10,7,1,1,3,0
2019-W11,13,0,0,3,0
2019-W12,7,2,1,4,0
2019-W13,18,0,1,2,1
2019-W14,8,1,1,4,1
2019-W15,8,0,0,2,0
2019-W16,7,0,0,1,0
2019-W17,0,0,0,2,0
2019-W18,9,0,0,4,1
2019-W19,3,0,0,4,1
2019-W20,4,1,0,5,0
2019-W21,13,1,2,2,1
2019-W22,8,1,0,6,1
2019-W23,9,0,0,2,0
2019-W24,7,0,0,2,0
2019-W25,8,0,0,2,1
2019-W26,8,0,0,3,0
2019-W27,2,1,0,3,0
2019-W28,6,0,0,3,0
2019-W29,3,0,1,1,0
2019-W30,11,1,0,1,0
2019-W31,3,0,0,2,1
2019-W32,4,0,0,4,0
2019-W33,6,0,0,3,0
2019-W34,6,1,0,2,0
2019-W35,4,0,0,3,0
2019-W36,2,2,0,3,0
2019-W37,4,1,1,2,0
2019-W38,13,1,1,8,0
2019-W39,10,0,0,5,0
2019-W40,11,2,2,2,0
2019-W41,13,1,2,5,0
2019-W42,8,1,1,4,0
2019-W43,19,0,1,3,0
2019-W44,12,1,1,5,1
2019-W45,14,0,0,5,0
2019-W46,13,1,1,4,0
2019-W47,20,1,1,5,2
2019-W48,15,1,1,3,0
2019-W49,14,1,0,2,1
2019-W50,15,0,1,6,0
2019-W51,18,1,0,1,1
2019-W52,12,1,1,5,0
2020-W01,8,0,0,1,0
2020-W02,5,1,0,2,0
2020-W03,5,0,1,1,0
2020-W04,8,0,0,4,1
2020-W05,8,2,0,1,0
2020-W06,3,0,0,5,0
2020-W07,8,1,1,3,0
2020-W08,10,0,0,3,0
2020-W09,7,0,0,4,0
2020-W10,4,0,0,3,1
2020-W11,7,2,1,6,0
2020-W12,20,2,0,5,0
2020-W13,19,0,1,5,0
2020-W14,17,0,4,4,0
2020-W15,19,0,2,5,0
2020-W16,18,1,1,3,0
2020-W17,18,1,1,4,0
2020-W18,18,2,1,4,1
2020-W19,16,2,1,3,0
2020-W20,19,2,0,7,0
2020-W21,14,0,1,9,0
2020-W22,11,0,0,2,0
2020-W23,18,0,1,2,1
2020-W24,16,0,2,2,1
2020-W25,12,1,1,6,0
2020-W26,16,0,1,4,0
2020-W27,20,2,0,5,0
2020-W28,20,0,0,3,1
2020-W29,12,1,0,6,1
2020-W30,10,0,2,11,1
2020-W31,17,1,0,5,0
2020-W32,12,0,1,2,0
2020-W33,16,1,0,5,0
